Book ID,Input File Path,Timestamp,Status,Failure Stage,Error Message,Retry Attempts,Total Audio Files,Total Audio Duration (s),Processing Time (ms),Error Details
30,FinalAllSummaries/30.md,2025-07-02T21:59:48.379Z,SUCCESS,,,0,0,0,1,
31,FinalAllSummaries/31.md,2025-07-02T21:59:49.380Z,SUCCESS,,,0,0,0,0,
32,FinalAllSummaries/32.md,2025-07-02T21:59:50.384Z,SUCCESS,,,0,0,0,1,
33,FinalAllSummaries/33.md,2025-07-02T21:59:51.387Z,SUCCESS,,,0,0,0,1,
34,FinalAllSummaries/34.md,2025-07-02T21:59:52.390Z,SUCCESS,,,0,0,0,1,
36,FinalAllSummaries/36.md,2025-07-02T21:59:53.392Z,SUCCESS,,,0,0,0,0,
42,FinalAllSummaries/42.md,2025-07-02T21:59:54.394Z,SUCCESS,,,0,0,0,0,
43,FinalAllSummaries/43.md,2025-07-02T21:59:55.396Z,SUCCESS,,,0,0,0,0,
49,FinalAllSummaries/49.md,2025-07-02T21:59:56.398Z,SUCCESS,,,0,0,0,0,
54,FinalAllSummaries/54.md,2025-07-02T21:59:57.400Z,SUCCESS,,,0,0,0,0,
55,FinalAllSummaries/55.md,2025-07-02T21:59:58.401Z,SUCCESS,,,0,0,0,0,
56,FinalAllSummaries/56.md,2025-07-02T21:59:59.403Z,SUCCESS,,,0,0,0,0,
58,FinalAllSummaries/58.md,2025-07-02T22:00:00.405Z,SUCCESS,,,0,0,0,0,
59,FinalAllSummaries/59.md,2025-07-02T22:00:01.407Z,SUCCESS,,,0,0,0,0,
64,FinalAllSummaries/64.md,2025-07-02T22:00:02.410Z,SUCCESS,,,0,0,0,1,
65,FinalAllSummaries/65.md,2025-07-02T22:00:03.414Z,SUCCESS,,,0,0,0,0,
77,FinalAllSummaries/77.md,2025-07-02T22:00:04.417Z,SUCCESS,,,0,0,0,1,
79,FinalAllSummaries/79.md,2025-07-02T22:00:05.419Z,SUCCESS,,,0,0,0,0,
80,FinalAllSummaries/80.md,2025-07-02T22:00:06.422Z,SUCCESS,,,0,0,0,1,
81,FinalAllSummaries/81.md,2025-07-02T22:00:07.425Z,SUCCESS,,,0,0,0,0,
82,FinalAllSummaries/82.md,2025-07-02T22:00:08.427Z,SUCCESS,,,0,0,0,0,
87,FinalAllSummaries/87.md,2025-07-02T22:00:09.429Z,SUCCESS,,,0,0,0,0,
89,FinalAllSummaries/89.md,2025-07-02T22:00:10.430Z,SUCCESS,,,0,0,0,0,
90,FinalAllSummaries/90.md,2025-07-02T22:00:11.433Z,SUCCESS,,,0,0,0,1,
92,FinalAllSummaries/92.md,2025-07-02T22:00:12.435Z,SUCCESS,,,0,0,0,1,
96,FinalAllSummaries/96.md,2025-07-02T22:00:13.436Z,SUCCESS,,,0,0,0,0,
98,FinalAllSummaries/98.md,2025-07-02T22:00:14.438Z,SUCCESS,,,0,0,0,1,
101,FinalAllSummaries/101.md,2025-07-02T22:00:15.441Z,SUCCESS,,,0,0,0,0,
102,FinalAllSummaries/102.md,2025-07-02T22:00:16.444Z,SUCCESS,,,0,0,0,1,
103,FinalAllSummaries/103.md,2025-07-02T22:00:17.448Z,SUCCESS,,,0,0,0,1,
104,FinalAllSummaries/104.md,2025-07-02T22:00:18.452Z,SUCCESS,,,0,0,0,0,
