book_id,isProcessed
1730,true
1731,true
1733,true
1738,true
1740,true
1742,true
1743,true
1750,true
1751,true
1752,true
1753,true
1755,true
1758,true
1759,true
1762,true
1763,true
1768,true
1769,true
1771,true
1774,true
1775,true
1776,true
1777,true
1779,true
1781,true
1782,true
1783,true
1785,true
1787,true
1788,true
1789,true
1791,true
1794,true
1797,true
1799,true
1800,true
1801,true
1802,true
1803,true
1805,true
1806,true
1807,true
1808,true
1809,true
1810,true
1811,true
1816,true
1817,true
1819,true
1820,true
1823,true
1824,true
1829,true
1831,true
1833,true
1834,true
1835,true
1836,true
1838,true
1839,true
1841,true
1843,true
1845,true
1847,true
1848,true
1858,true
1861,true
1862,true
1864,true
1865,true
1867,true
1869,true
1875,true
1877,true
1878,true
1880,true
1883,true
1884,true
1889,true
1890,true
1891,true
1892,true
1894,true
1895,true
1896,true
1899,true
1902,true
1904,true
1907,true
1909,true
1910,true
1911,true
1914,true
1915,true
1917,true
1918,true
1919,true
1922,true
1923,true
1924,true
1926,true
1927,true
1929,true
1930,true
1931,true
1932,true
1933,true
1935,true
1939,true
1940,true
1941,true
1944,true
1945,true
1949,true
1950,true
1951,true
1953,true
1958,true
1961,true
1962,true
1964,true
1966,true
1971,true
1972,true
1975,true
1980,true
1981,true
1982,true
1984,true
1985,true
1987,true
1990,true
1991,true
1993,true
1994,true
1995,true
1997,true
1998,true
2001,true
2008,true
2010,true
2011,true
2012,true
2014,true
2017,true
2018,true
2020,true
2021,true
2022,true
2023,true
2024,true
2026,true
2027,true
2028,true
2029,true
2030,true
2031,true
2032,true
2033,true
2034,true
2036,true
2037,true
2038,true
2040,true
2041,true
2042,true
2043,true
2044,true
2046,true
2049,true
2050,true
2051,true
2052,true
2054,true
2055,true
2056,true
2057,true
2058,true
2063,true
2064,true
2066,true
2068,true
2069,true
2070,true
2071,true
2072,true
2073,true
2074,true
2077,true
2080,true
2082,true
2085,true
2086,true
2088,true
2092,true
2093,true
2094,true
2095,true
2096,true
2097,true
2099,true
2100,true
2101,true
2103,true
2104,true
2107,true
2108,true
2109,true
2110,true
2111,true
2112,true
2113,true
2118,true
2121,true
2122,true
2123,true
2125,true
2127,true
2128,true
2129,true
2130,true
2134,true
2137,true
2138,true
2142,true
2143,true
2148,true
2152,true
2155,true
2159,true
2163,true
2164,true
2167,true
2173,true
2174,true
2175,true
2176,true
2177,true
2178,true
2182,true
2183,true
2185,true
2187,true
2191,true
2197,true
2198,true
2199,true
2200,true
2202,true
2203,true
2204,true
2207,true
2209,true
2210,true
2212,true
2217,true
2218,true
2224,true
2225,true
2226,true
2229,true
2230,true
2232,true
2233,true
2237,true
2238,true
2239,true
2240,true
2241,true
2242,true
2243,true
2244,true
2245,true
2246,true
2247,true
2248,true
2249,true
2250,true
2251,true
2252,true
2255,true
2256,true
2257,true
2259,true
2260,true
2262,true
2263,true
2264,true
2265,true
2266,true
2269,true
2271,true
2272,true
2273,true
2275,true
2276,true
2277,true
2280,true
2281,true
2282,true
2284,true
2285,true
2290,true
2291,true
2293,true
2295,true
2299,true
2301,true
2302,true
2303,true
2304,true
2308,true
2310,true
2313,true
2314,true
2316,true
2317,true
2318,true
2319,true
2320,true
2321,true
2322,true
2324,true
2325,true
2326,true
2327,true
2329,true
2331,true
2333,true
2334,true
2335,true
2336,true
2337,true
2339,true
2340,true
2342,true
2343,true
2344,true
2345,true
2346,true
2347,true
2349,true
2350,true
2352,true
2353,true
2354,true
2355,true
2356,true
2357,true
2359,true
2361,true
2362,true
2363,true
2364,true
2366,true
2367,true
2368,true
2370,true
2371,true
2372,true
2373,true
2374,true
2375,true
2376,true
2377,true
2378,true
2381,true
2383,true
2384,true
2386,true
2387,true
2388,true
2391,true
2392,true
2393,true
2394,true
2395,true
2397,true
2398,true
2399,true
2402,true
2403,true
2404,true
2405,true
2406,true
2409,true
2410,true
2411,true
2415,true
2417,true
2418,true
2420,true
2425,true
2430,true
2431,true
2432,true
2436,true
2437,true
2438,true
2443,true
2444,true
2450,true
2454,true
2455,true
2456,true
2457,true
2461,true
2462,true
2464,true
2465,true
2466,true
2467,true
2468,true
2470,true
2475,true
2476,true
2482,true
2483,true
2484,true
2485,true
2486,true
2487,true
